number of nodes,time in ms
10,0.007534027099609375
60,0.03407001495361328
110,0.060868263244628906
160,0.09090900421142578
210,0.116729736328125
260,0.14600753784179688
310,0.17242431640625
360,0.24886131286621094
410,0.26679039001464844
460,0.30548572540283203
510,0.33416748046875
560,0.35953521728515625
610,0.4021167755126953
660,0.42760372161865234
710,0.45731067657470703
760,0.5060911178588867
810,2.164602279663086
860,0.5967140197753906
910,0.5698204040527344
960,0.6500005722045898
1010,0.6770610809326172
1060,0.6533622741699219
1110,0.7516622543334961
1160,0.809168815612793
1210,2.686285972595215
1260,0.8409261703491211
1310,0.8637905120849609
1360,0.8929729461669922
1410,0.9270906448364258
1460,2.6497602462768555
1510,1.0342836380004883
1560,1.0022640228271484
1610,1.096343994140625
1660,1.1253118515014648
1710,1.9936323165893555
1760,1.1766672134399414
1810,1.1849403381347656
1860,1.2814521789550781
1910,2.2695302963256836
1960,1.2946128845214844
2010,1.3938665390014648
2060,1.3329744338989258
2110,1.4600515365600586
2160,1.4356613159179688
2210,1.511549949645996
2260,1.4966249465942383
2310,1.5744686126708984
2360,1.654195785522461
2410,1.640176773071289
2460,1.6553878784179688
2510,1.6899824142456055
2560,1.7310142517089844
2610,1.7923593521118164
2660,5.748224258422852
2710,1.9084692001342773
2760,1.8665552139282227
2810,1.8189430236816406
2860,1.9275188446044922
2910,7.038211822509766
2960,1.9595146179199217
3010,5.915927886962891
3060,2.0750045776367188
3110,2.0829200744628906
3160,2.1032094955444336
3210,2.134394645690918
3260,2.2417068481445312
3310,2.2978782653808594
3360,2.240109443664551
3410,2.315974235534668
3460,2.283954620361328
3510,2.3192405700683594
3560,2.389049530029297
3610,7.576775550842285
3660,2.47042179107666
3710,3.572249412536621
3760,2.5384902954101562
3810,2.5665998458862305
3860,2.551913261413574
3910,2.6293277740478516
3960,3.847837448120117
4010,2.6697635650634766
4060,2.7652502059936523
4110,10.111474990844727
4160,3.096890449523926
4210,2.793407440185547
4260,9.6482515335083
4310,2.9703378677368164
4360,3.084254264831543
4410,7.163119316101074
4460,3.1230688095092773
4510,3.0206918716430664
4560,3.129410743713379
4610,5.537199974060059
4660,3.284764289855957
4710,3.199315071105957
4760,4.404735565185547
4810,3.272867202758789
4860,3.2938003540039062
4910,3.362894058227539
4960,3.3284902572631836
